id,first_name,last_name,sex,dob,height,created_at,updated_at,slug,climbs_count,ascents_count
30,James,Litz,M,,,2013-02-12 14:59:59.452269,2013-02-12 14:59:59.452269,james-litz,0,0
56,Lucas,Ménégatti,M,1990-07-24,183.0,2013-02-12 15:17:02.250163,2016-02-10 21:00:39.534435,lucas-menegatti,2,2
78,Rok,Klančnik,M,1986-02-11,173.0,2013-03-12 05:00:12.303452,2014-04-11 21:00:57.462810,rok-klancnik,2,2
7,Radovan,Souček,M,1972-10-30,167.0,2013-01-21 14:03:01.376026,2013-06-22 11:40:46.804516,radovan-soucek,1,1
45,Thomas,Willenberg,M,1974-04-30,,2013-02-12 15:08:33.146364,2013-05-29 11:48:23.397319,thomas-willenberg,3,3
106,Mirko,Caballero,M,2001-01-12,172.0,2014-03-24 13:41:49.260863,2014-07-15 21:05:45.403553,mirko-caballero,1,1
16,Markus,Windisch,M,,,2013-01-21 14:13:55.617244,2013-01-21 14:13:55.617244,markus-windisch,1,1
51,Yuji,Hirayama,M,1969-02-23,173.0,2013-02-12 15:10:31.570209,2013-06-20 20:44:13.331423,yuji-hirayama,2,2
10,John,Gaskins,M,,172.0,2013-01-21 14:03:40.899850,2013-06-19 17:38:19.857632,john-gaskins,5,5
82,Arnaud,Ceintre,M,1971-03-04,164.0,2013-04-01 19:37:43.470206,2013-06-23 04:00:30.753754,arnaud-ceintre,2,2
23,Christopher,Webb-Parsons,M,1985-02-04,178.0,2013-02-12 14:58:16.542813,2014-03-15 21:55:24.931145,christopher-webb-parsons,7,7
81,Pirmin,Bertle,M,1985-05-29,184.0,2013-04-01 19:35:29.332160,2016-03-27 21:00:35.831806,pirmin-bertle,9,9
12,Markus,Bock,M,1979-02-13,,2013-01-21 14:04:07.269529,2014-04-11 21:00:57.556619,markus-bock,3,3
32,Klem,Loskot,M,1974-05-11,183.0,2013-02-12 15:00:46.815565,2014-04-11 21:00:57.591319,klem-loskot,5,5
43,Sébastien,Frigault,M,1974-05-01,180.0,2013-02-12 15:08:00.609469,2013-06-19 18:59:35.075466,sebastien-frigault,3,3
60,Jon,Cardwell,M,1989-03-12,170.0,2013-02-12 15:20:52.566869,2014-02-23 19:18:39.605341,jon-cardwell,1,1
11,Christian,Core,M,1974-10-05,177.0,2013-01-21 14:03:56.382237,2014-05-25 21:01:30.659463,christian-core,4,4
17,Franz,Widmer,M,,,2013-01-21 14:19:14.259610,2013-05-10 20:44:19.825048,franz-widmer,2,2
46,Tokio,Muroi,M,,,2013-02-12 15:08:44.026508,2015-03-08 21:00:33.118200,tokio-muroi,3,3
20,Bernabé,Fernández,M,1974-03-14,178.0,2013-02-12 14:57:17.364383,2013-06-22 09:48:45.617557,bernabe-fernandez,1,1
28,Hanspeter,Bodmer,M,,,2013-02-12 14:59:36.904731,2013-05-28 20:23:45.223151,hanspeter-bodmer,2,2
53,Manuel,Brunn,M,,,2013-02-12 15:12:45.226465,2015-01-11 21:00:13.008595,manuel-brunn,2,2
75,Benjamin,Cossey,M,1983-12-26,,2013-02-12 15:34:40.604444,2013-05-28 20:23:45.510390,benjamin-cossey,2,2
35,Mauro,Calibani,M,1974-05-10,173.0,2013-02-12 15:02:00.148911,2013-06-22 08:16:31.661832,mauro-calibani,1,1
37,Petr,Resch,M,1974-07-15,168.0,2013-02-12 15:05:31.546441,2013-06-22 11:38:09.767025,petr-resch,1,1
6,Bernd,Zangerl,M,1978-09-23,176.0,2013-01-21 14:02:34.417887,2014-01-29 03:56:26.374800,bernd-zangerl,3,3
68,Shawn,Diamond,M,1983-03-24,173.0,2013-02-12 15:27:26.682580,2013-06-22 09:37:18.418269,shawn-diamond,1,1
5,Micky,Page,M,,,2013-01-21 14:02:19.171620,2013-05-29 11:48:24.031839,micky-page,3,3
74,Ethan,Pringle,M,1986-05-30,178.0,2013-02-12 15:34:01.333890,2016-02-10 21:00:39.468592,ethan-pringle,4,4
50,Vincent,Pochon,M,,,2013-02-12 15:10:13.525689,2013-05-10 20:44:21.386212,vincent-pochon,1,1
40,Romain,Desgranges,M,1982-10-12,174.0,2013-02-12 15:06:17.310277,2013-09-18 14:21:05.602939,romain-desgranges,2,2
57,Arjan,de Kock,M,1985-08-16,178.0,2013-02-12 15:17:29.112967,2013-06-19 17:54:20.475224,arjan-de-kock,1,1
62,Julien,Nadiras,M,,,2013-02-12 15:22:25.667968,2013-05-10 20:44:21.762282,julien-nadiras,1,1
19,Antoine,Vandeputte,M,1986-07-17,164.0,2013-02-12 14:57:01.462581,2013-06-22 12:17:33.840118,antoine-vandeputte,1,1
38,Martin,Moser,M,1978-02-28,186.0,2013-02-12 15:05:45.397273,2013-06-03 13:39:54.287049,martin-moser,1,1
33,Magnus,Midtbø,M,1988-09-18,174.0,2013-02-12 15:01:05.161434,2013-06-20 20:12:34.137918,magnus-midtbo,2,2
76,Ian,Dory,M,1990-07-14,173.0,2013-02-12 15:35:15.272014,2014-02-02 18:45:10.199353,ian-dory,3,3
